"Mapping","Protein.IDs"
"LOC100361907","A0A0G2JYC4"
"LOC100910181;Apoc1","A0A0G2K9R5;M0R547;P19939"
"LOC100912026","M0R7P3"
"LOC103694855","Q62669"
"LOC297568;A1i3","D4AA52;P14046;A0A0G2K926"
"LOC298111;RGD1566134","M0RBS2;A0A096MK41;A0A096MJW3;F1M6Y6;A0A096MIX6;P02761"
"LOC299282;Serpina3l","P05544;A0A0G2JXK5;P09005"
"LOC299282;Serpina3n","A0A0G2KB85;P09006;A0A0G2K9B1;A0A0H2UHI5"
"LOC360919","F7FAY5"
"LOC686143","F1M6N0"
"LOC691143;Saa4","Q7TP01;Q5M878;Q7TMC3"
"Lrg1","Q5I0E1"
"Lum","P51886"
"Lyc2;Lyz2;Lyz1","B2RYD4;P00697;Q05820;A0A0G2K5X1;F1M8E9"
"Lyve1","D3ZD19"
"Man1a1","A0A0G2JW29;G3V9N9"
"Map1","P01048"
"Masp1","A0A0H2UHA1;Q8CHN8"
"Masp2","Q9JJS8;A2VCV7"
"Mbl1","P19999"
"Mbl2","A0A140UHW8;P08661"
"Mcam","Q9EPF2"
"Mdh1","O88989"
"Mgam","D3ZTX4"
"Minpp1;RGD1564801","G3V7H2;O35217;M0R8T0"
"Mmrn1","D4A3E0"
"Mpst","P97532"
"Mst1","F7FMS0"
"Muc4","Q63661"
"Mug1","A0A0G2JUP5"
"Mug2","Q6IE52"
"N/A (A0A0G2JV42;A0A0G2KAZ1;A0A0G2K458)","A0A0G2JV42;A0A0G2KAZ1;A0A0G2K458"
"N/A (A0A0G2JWW4;M0RBL2;A0A0G2K4A4;A0A0G2K3A6;A0A0G2K290)","A0A0G2JWW4;M0RBL2;A0A0G2K4A4;A0A0G2K3A6;A0A0G2K290"
"N/A (A0A0G2JZS9)","A0A0G2JZS9"
"N/A (A0A0G2JZW1;F1M229;P01836;P01835;F1LTN6;A0A0H2UI36)","A0A0G2JZW1;F1M229;P01836;P01835;F1LTN6;A0A0H2UI36"
"N/A (A0A0G2K3L5;A0A0G2JXF0)","A0A0G2K3L5;A0A0G2JXF0"
"N/A (A0A0G2K3S3;M0RDZ5;M0RAV0;M0RD98;D3ZIL8;F1M7B3;M0RC23;M0RDL2;M0R7M5)","A0A0G2K3S3;M0RDZ5;M0RAV0;M0RD98;D3ZIL8;F1M7B3;M0RC23;M0RDL2;M0R7M5"
"N/A (A0A0G2K3Z5;M0R9S4)","A0A0G2K3Z5;M0R9S4"
"N/A (A0A0G2K4K2)","A0A0G2K4K2"
"N/A (A0A0G2K8C6)","A0A0G2K8C6"
"N/A (A0A1W2Q668)","A0A1W2Q668"
"N/A (D3ZJW6)","D3ZJW6"
"N/A (F1LTJ5)","F1LTJ5"
"N/A (F1LTY5)","F1LTY5"
"N/A (F1LUS1;A0A0G2JZV7)","F1LUS1;A0A0G2JZV7"
"N/A (F1LWD0)","F1LWD0"
"N/A (F1LXR9;F1M1R8)","F1LXR9;F1M1R8"
"N/A (F1LXY6)","F1LXY6"
"N/A (F1LZ11)","F1LZ11"
"N/A (F1LZH0)","F1LZH0"
"N/A (F1M0U4)","F1M0U4"
"N/A (G3V9J1)","G3V9J1"
"N/A (M0R816;F1LZY6)","M0R816;F1LZY6"
"N/A (M0R9U2)","M0R9U2"
"N/A (M0RA79)","M0RA79"
"N/A (M0RAZ1;A0A0G2K5D2)","M0RAZ1;A0A0G2K5D2"
"N/A (M0RBK4)","M0RBK4"
